"Timestamp","Function","Services","Status","RAMFreed_MB","RebootRequired"
"2026-01-01 10:13:43","hiber-DeepWork","WSearch, Spooler, SysMain, Themes, WbioSrvc, Stisvc","Completado","53,86","False"
"2026-01-01 10:13:56","hiber-Light","DiagTrack, dmwappushservice, WerSvc, DusmSvc, gupdate, gupdatem, bdvpnService, EpsonScanSvc, OneSyncSvc, MapsBroker, CDPSvc","Completado","1,02","False"
"2026-01-01 10:14:01","hiber-Terceros","LenovoVantageService, AdobeARMservice, ClickToRunSvc, BraveElevationService","Completado","0,44","False"
"2026-01-01 10:14:14","hiber-DeepWork","WSearch, Spooler, SysMain, Themes, WbioSrvc, Stisvc","Completado","0,57","False"
"2026-01-01 10:14:22","hiber-Terceros","LenovoVantageService, AdobeARMservice, ClickToRunSvc, BraveElevationService","Completado","0,53","False"
"2026-01-01 10:15:41","hiber-Light","DiagTrack, dmwappushservice, WerSvc, DusmSvc, gupdate, gupdatem, bdvpnService, EpsonScanSvc, OneSyncSvc, MapsBroker, CDPSvc","Completado","4,26","False"
"2026-01-01 10:15:46","hiber-Terceros","LenovoVantageService, AdobeARMservice, ClickToRunSvc, BraveElevationService","Completado","1,06","False"
"2026-01-01 10:16:02","hiber-DeepWork","WSearch, Spooler, SysMain, Themes, WbioSrvc, Stisvc","Completado","0,76","False"
"2026-01-01 10:16:43","hiber-Light","DiagTrack, dmwappushservice, WerSvc, DusmSvc, gupdate, gupdatem, bdvpnService, EpsonScanSvc, OneSyncSvc, MapsBroker, CDPSvc","Completado","2,55","False"
"2026-01-01 10:17:31","hiber-Terceros","LenovoVantageService, AdobeARMservice, ClickToRunSvc, BraveElevationService","Completado","0,6","False"
"2026-01-01 10:17:57","hiber-DeepWork","WSearch, Spooler, SysMain, Themes, WbioSrvc, Stisvc","Completado","0,35","False"
"2026-01-01 10:56:58","hiber-Light","DiagTrack, dmwappushservice, WerSvc, DusmSvc, gupdate, gupdatem, bdvpnService, EpsonScanSvc, OneSyncSvc, MapsBroker, CDPSvc","Completado","-19,97","False"
"2026-01-01 10:57:02","hiber-Terceros","LenovoVantageService, AdobeARMservice, ClickToRunSvc, BraveElevationService","Completado","-10,73","False"
